Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"NHY","NORSK HYDRO","Materialien","Aktien","6.751.963,02","0,07","6.751.963,02","1.333.618,00","5,06","Norwegen","Oslo Bors Asa","NOK"
"ERF","EUROFINS SCIENTIFIC","Gesundheitsversorgung","Aktien","6.740.378,56","0,07","6.740.378,56","111.154,00","60,64","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"METSO","METSO CORPORATION","Industrie","Aktien","6.733.204,91","0,07","6.733.204,91","580.699,00","11,60","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"TELIA","TELIA COMPANY","Kommunikation","Aktien","6.679.076,25","0,07","6.679.076,25","2.264.818,00","2,95","Schweden","Nasdaq Omx Nordic","SEK"
"LI","KLEPIERRE REIT SA","Immobilien","Aktien","6.648.006,40","0,07","6.648.006,40","204.680,00","32,48","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"BNR","BRENNTAG","Industrie","Aktien","6.640.280,88","0,07","6.640.280,88","120.034,00","55,32","Deutschland","Xetra","EUR"
"CA","CARREFOUR SA","Nichtzyklische Konsumgüter","Aktien","6.585.394,46","0,06","6.585.394,46","544.923,00","12,09","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"ORNBV","ORION CLASS B","Gesundheitsversorgung","Aktien","6.541.724,10","0,06","6.541.724,10","99.042,00","66,05","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"MNG","M&G PLC","Financials","Aktien","6.522.065,20","0,06","6.522.065,20","2.191.247,00","2,98","Vereinigtes Königreich","London Stock Exchange","GBP"
"AKRBP","AKER BP","Energie","Aktien","6.520.896,21","0,06","6.520.896,21","313.757,00","20,78","Norwegen","Oslo Bors Asa","NOK"
"SKA B","SKANSKA B","Industrie","Aktien","6.429.607,40","0,06","6.429.607,40","319.097,00","20,15","Schweden","Nasdaq Omx Nordic","SEK"
"GBLB","GROUPE BRUXELLES LAMBERT NV","Financials","Aktien","6.411.140,05","0,06","6.411.140,05","86.813,00","73,85","Belgien","Nyse Euronext - Euronext Brussels","EUR"
"TRYG","TRYG","Financials","Aktien","6.386.488,48","0,06","6.386.488,48","299.586,00","21,32","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SECU B","SECURITAS B","Industrie","Aktien","6.370.767,54","0,06","6.370.767,54","494.094,00","12,89","Schweden","Nasdaq Omx Nordic","SEK"
"TREL B","TRELLEBORG B","Industrie","Aktien","6.352.807,44","0,06","6.352.807,44","198.249,00","32,04","Schweden","Nasdaq Omx Nordic","SEK"
"ENT","ENTAIN PLC","Zyklische Konsumgüter ","Aktien","6.317.456,06","0,06","6.317.456,06","571.392,00","11,06","Vereinigtes Königreich","London Stock Exchange","GBP"
"HM B","HENNES & MAURITZ","Zyklische Konsumgüter ","Aktien","6.305.178,24","0,06","6.305.178,24","524.026,00","12,03","Schweden","Nasdaq Omx Nordic","SEK"
"TEL2 B","TELE2 B","Kommunikation","Aktien","6.300.475,67","0,06","6.300.475,67","484.821,00","13,00","Schweden","Nasdaq Omx Nordic","SEK"
"FORTUM","FORTUM","Versorger","Aktien","6.296.621,00","0,06","6.296.621,00","402.340,00","15,65","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"TLX","TALANX AG","Financials","Aktien","6.248.412,00","0,06","6.248.412,00","56.292,00","111,00","Deutschland","Xetra","EUR"
"ALO","ALSTOM SA","Industrie","Aktien","6.173.165,88","0,06","6.173.165,88","308.196,00","20,03","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"EPI B","EPIROC CLASS B","Industrie","Aktien","6.113.696,37","0,06","6.113.696,37","356.595,00","17,14","Schweden","Nasdaq Omx Nordic","SEK"
"OMV","OMV AG","Energie","Aktien","6.104.488,68","0,06","6.104.488,68","133.519,00","45,72","Österreich","Wiener Boerse Ag","EUR"
"ORK","ORKLA","Nichtzyklische Konsumgüter","Aktien","6.097.727,38","0,06","6.097.727,38","658.882,00","9,25","Norwegen","Oslo Bors Asa","NOK"
"SKF B","SKF B","Industrie","Aktien","6.081.451,86","0,06","6.081.451,86","303.683,00","20,03","Schweden","Nasdaq Omx Nordic","SEK"
"TEN","TENARIS SA","Energie","Aktien","6.022.848,00","0,06","6.022.848,00","376.428,00","16,00","Italien","Borsa Italiana","EUR"
"UNI","UNIPOL ASSICURAZIONI SPA","Financials","Aktien","6.019.171,68","0,06","6.019.171,68","365.241,00","16,48","Italien","Borsa Italiana","EUR"
"ORSTED","OERSTED","Versorger","Aktien","5.964.638,31","0,06","5.964.638,31","152.399,00","39,14","Dänemark","Omx Nordic Exchange Copenhagen A/S","DKK"
"EVD","CTS EVENTIM AG","Kommunikation","Aktien","5.963.444,40","0,06","5.963.444,40","57.396,00","103,90","Deutschland","Xetra","EUR"
"IMCD","IMCD NV","Industrie","Aktien","5.920.202,40","0,06","5.920.202,40","52.368,00","113,05","Niederlande","Euronext Amsterdam","EUR"
"WTB","WHITBREAD PLC","Zyklische Konsumgüter ","Aktien","5.915.201,15","0,06","5.915.201,15","163.777,00","36,12","Vereinigtes Königreich","London Stock Exchange","GBP"
"SCA B","SVENSKA CELLULOSA B","Materialien","Aktien","5.915.546,67","0,06","5.915.546,67","543.322,00","10,89","Schweden","Nasdaq Omx Nordic","SEK"
"ELISA","ELISA","Kommunikation","Aktien","5.878.888,08","0,06","5.878.888,08","126.919,00","46,32","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"RNO","RENAULT SA","Zyklische Konsumgüter ","Aktien","5.844.064,80","0,06","5.844.064,80","174.972,00","33,40","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"EDEN","EDENRED","Financials","Aktien","5.841.422,85","0,06","5.841.422,85","225.103,00","25,95","Frankreich","Nyse Euronext - Euronext Paris","EUR"
"KGF","KINGFISHER PLC","Zyklische Konsumgüter ","Aktien","5.834.989,96","0,06","5.834.989,96","1.814.382,00","3,22","Vereinigtes Königreich","London Stock Exchange","GBP"
"INDT","INDUTRADE","Industrie","Aktien","5.805.362,92","0,06","5.805.362,92","264.881,00","21,92","Schweden","Nasdaq Omx Nordic","SEK"
"KBX","KNORR BREMSE AG","Industrie","Aktien","5.788.417,05","0,06","5.788.417,05","69.033,00","83,85","Deutschland","Xetra","EUR"
