Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"SGH","SGH LTD","Industrie","Aktien","1.695.081,54","0,01","1.695.081,54","50.791,00","33,37","Australien","Asx - All Markets","AUD"
"DNP","DINO POLSKA SA","Nichtzyklische Konsumgüter","Aktien","1.689.837,50","0,01","1.689.837,50","11.669,00","144,81","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"SOBI","SWEDISH ORPHAN BIOVITRUM","Gesundheitsversorgung","Aktien","1.688.653,46","0,01","1.688.653,46","56.382,00","29,95","Schweden","Nasdaq Omx Nordic","SEK"
"ASII","ASTRA INTERNATIONAL","Industrie","Aktien","1.685.779,03","0,01","1.685.779,03","5.801.800,00","0,29","Indonesien","Indonesia Stock Exchange","IDR"
"CAE","CAE INC","Industrie","Aktien","1.683.692,91","0,01","1.683.692,91","58.500,00","28,78","Kanada","Toronto Stock Exchange","CAD"
"AKRBP","AKER BP","Energie","Aktien","1.679.784,03","0,01","1.679.784,03","63.749,00","26,35","Norwegen","Oslo Bors Asa","NOK"
"009150","SAMSUNG ELECTRO MECHANICS LTD","IT","Aktien","1.675.273,61","0,01","1.675.273,61","16.812,00","99,65","Korea","Korea Exchange (Stock Market)","KRW"
"ASELS.E","ASELSAN ELEKTRONIK SANAYI VE TICAR","Industrie","Aktien","1.670.495,16","0,01","1.670.495,16","435.785,00","3,83","Türkei","Istanbul Stock Exchange","TRY"
"NHY","NORSK HYDRO","Materialien","Aktien","1.667.725,04","0,01","1.667.725,04","275.557,00","6,05","Norwegen","Oslo Bors Asa","NOK"
"SGP","STOCKLAND STAPLED UNITS LTD","Immobilien","Aktien","1.660.056,69","0,01","1.660.056,69","466.798,00","3,56","Australien","Asx - All Markets","AUD"
"2379","REALTEK SEMICONDUCTOR CORP","IT","Aktien","1.642.270,30","0,01","1.642.270,30","83.000,00","19,79","Taiwan","Taiwan Stock Exchange","TWD"
"CPB","CAMPBELL SOUP","Nichtzyklische Konsumgüter","Aktien","1.635.601,44","0,01","1.635.601,44","52.356,00","31,24","Vereinigte Staaten","NASDAQ","USD"
"1301","FORMOSA PLASTICS CORP","Materialien","Aktien","1.636.730,11","0,01","1.636.730,11","1.406.240,00","1,16","Taiwan","Taiwan Stock Exchange","TWD"
"3626","TIS INC","IT","Aktien","1.633.343,06","0,01","1.633.343,06","52.600,00","31,05","Japan","Tokyo Stock Exchange","JPY"
"WTRG","ESSENTIAL UTILITIES INC","Versorger","Aktien","1.630.574,40","0,01","1.630.574,40","43.680,00","37,33","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"9005","TOKYU CORP","Industrie","Aktien","1.615.057,85","0,01","1.615.057,85","141.500,00","11,41","Japan","Tokyo Stock Exchange","JPY"
"CDR","CD PROJEKT SA","Kommunikation","Aktien","1.612.944,97","0,01","1.612.944,97","21.862,00","73,78","Polen","Warsaw Stock Exchange/Equities/Main Market","PLN"
"GOTO","GOTO GOJEK TOKOPEDIA","Zyklische Konsumgüter ","Aktien","1.604.172,51","0,01","1.604.172,51","440.739.600,00","0,00","Indonesien","Indonesia Stock Exchange","IDR"
"OMU","OLD MUTUAL LIMITED LTD","Financials","Aktien","1.599.043,50","0,01","1.599.043,50","2.493.465,00","0,64","Südafrika","Johannesburg Stock Exchange","ZAR"
"JPY","JPY CASH","Cash und/oder Derivate","Geldmarkt","1.598.455,45","0,01","1.598.455,45","235.556.387,00","0,68","Japan","-","JPY"
"TEMN","TEMENOS AG","IT","Aktien","1.592.575,81","0,01","1.592.575,81","21.961,00","72,52","Schweiz","SIX Swiss Exchange","CHF"
"SOL","WASHINGTON H SOUL PATTINSON & COMP","Financials","Aktien","1.585.642,26","0,01","1.585.642,26","58.392,00","27,16","Australien","Asx - All Markets","AUD"
"BEIJ B","BEIJER REF CLASS B","Industrie","Aktien","1.578.073,30","0,01","1.578.073,30","96.130,00","16,42","Schweden","Nasdaq Omx Nordic","SEK"
"SCHP","SCHINDLER HOLDING PAR AG","Industrie","Aktien","1.575.228,48","0,01","1.575.228,48","4.218,00","373,45","Schweiz","SIX Swiss Exchange","CHF"
"KBX","KNORR BREMSE AG","Industrie","Aktien","1.564.190,09","0,01","1.564.190,09","15.691,00","99,69","Deutschland","Xetra","EUR"
"NESTE","NESTE","Energie","Aktien","1.560.326,20","0,01","1.560.326,20","104.902,00","14,87","Finnland","Nasdaq Omx Helsinki Ltd.","EUR"
"2057","ZTO EXPRESS (CAYMAN) INC","Industrie","Aktien","1.561.194,34","0,01","1.561.194,34","83.031,00","18,80","China","Hong Kong Exchanges And Clearing Ltd","HKD"
